,id,titulo,año,genero,tipo,puntuacion,duracion
0,tt0102921,Si da jia zu zhi long hu xiong di,1991,['Action'],Movie,6.7,116.0
1,tt0102593,One Good Cop,1991,['Action'],Movie,5.8,114.0
2,tt0102844,Saudagar,1991,['Action'],Movie,6.7,213.0
3,tt0102814,Sa Tam Chai yue Chow Si Lai,1991,['Action'],Movie,5.3,89.0
4,tt0102655,The Perfect Weapon,1991,['Action'],Movie,6.0,112.0
5,tt0102710,Prime Target,1991,['Action'],Movie,4.2,86.0
6,tt0103315,Yue qing,1991,['Action'],Movie,5.4,86.0
7,tt0103330,Zhui ri,1991,['Adventure'],Movie,6.1,92.0
8,tt0102804,The Roller Blade Seven,1991,['Action'],Movie,2.2,96.0
9,tt0102798,Robin Hood: Prince of Thieves,1991,['Adventure'],Movie,6.9,143.0
10,tt0102984,Stone Cold,1991,['Action'],Movie,6.1,92.0
11,tt0103112,Toy Soldiers,1991,['Action'],Movie,6.6,111.0
12,tt0102915,Showdown in Little Tokyo,1991,['Action'],Movie,6.1,79.0
13,tt0102797,Robin Hood,1991,['Adventure'],Movie,5.7,104.0
14,tt0102848,Scanners II: The New Order,1991,['Action'],Movie,5.3,104.0
15,tt0102286,Leng mian ju ji shou,1991,['Action'],Movie,5.6,94.0
16,tt0102505,N.Y.P.D. Mounted,1991,['Action'],TV Movie,5.0,
17,tt0103184,V.I. Warshawski,1991,['Action'],Movie,5.0,89.0
18,tt0102803,The Rocketeer,1991,['Adventure'],Movie,6.6,108.0
19,tt0102672,Pirates Island,1991,['Adventure'],TV Movie,7.6,1991.0
20,tt0103045,To hok wai lung,1991,['Action'],Movie,7.1,100.0
21,tt0104521,Into the Sun,1991,"['Action', 'War']",Movie,5.1,101.0
22,tt0102535,Night of the Warrior,1991,"['Action', 'Sport']",Movie,3.7,99.0
23,tt0103294,Xi Zang xiao zi,1991,['Action'],Movie,6.0,97.0
24,tt0103291,Ng foo jeung: Guet lip,1991,['Action'],Movie,6.1,100.0
25,tt0104981,Neon City,1991,['Adventure'],Movie,5.3,99.0
26,tt0102701,Prahaar: The Final Attack,1991,['Action'],Movie,8.0,151.0
27,tt0102685,Point Break,1991,['Action'],Movie,7.3,122.0
28,tt0103307,Yi chu ji fa,1991,['Action'],Movie,6.2,97.0
29,tt0102435,Meng xing xue wei ting,1991,['Action'],Movie,6.5,103.0
30,tt0102995,Street Soldiers,1991,['Action'],Movie,4.5,93.0
31,tt0103303,Year of the Gun,1991,['Action'],Movie,5.6,111.0
32,tt0102513,Narasimha,1991,['Action'],Movie,5.5,214.0
33,tt0103285,Once Upon a Time in China,1991,['Adventure'],Movie,7.2,134.0
34,tt0103274,Witchcraft III: The Kiss of Death,1991,['Action'],Video,3.2,
35,tt0105439,Soldier's Fortune,1991,['Action'],Movie,4.5,96.0
36,tt0110930,Quan wang,1991,['Action'],Movie,5.1,103.0
37,tt0121234,Duo bao qiao jia ren,1991,['Adventure'],Movie,6.8,89.0
38,tt0133222,Sukeban deka: Tanjô-hen,1991,['Action'],Video,6.8,50.0
39,tt0151514,Maximum Breakout,1991,['Action'],Movie,4.2,96.0
40,tt0160558,Fushigi no umi no Nadia: Gekijô-yô orijinaru-ban,1991,['Action'],Movie,4.2,85.0
41,tt0170416,Shikari: The Hunter,1991,['Adventure'],Movie,4.8,162.0
42,tt0186425,Opium,1991,['Action'],Movie,,
43,tt0198723,The Master Demon,1991,['Action'],Movie,3.1,81.0
44,tt0207133,Super Spy Hunter,1991,['Adventure'],Video Game,5.9,1991.0
45,tt0221485,Politico por error,1991,['Action'],Movie,8.7,
46,tt0234412,Paap Ki Aandhi,1991,['Action'],Movie,4.3,
47,tt0244839,Terminator 2: Judgment Day,1991,['Adventure'],Video Game,7.9,
48,tt0255425,Nirnayam,1991,['Action'],Movie,7.1,170.0
49,tt0261833,Mission: Killfast,1991,['Adventure'],Movie,3.5,97.0
50,tt0269577,Muerte por partida doble,1991,['Action'],Video,7.0,1991.0
51,tt0284195,La huella de un asesino,1991,['Action'],Movie,6.7,86.0
52,tt0285921,Popful Mail,1991,['Adventure'],Video Game,7.9,
53,tt0293712,Wolfpack,1991,['Action'],Video Game,,1991.0
54,tt0090780,Bulls of a Feather,1992,"['Family', 'Fantasy', 'Western']",TV Episode,6.6,
55,tt0102275,The Last Riders,1992,"['Action', 'Drama']",Movie,4.3,
56,tt0103463,Kyôryû sentai Jûrenjâ,1992,"['Family', 'Fantasy', 'Sci-Fi']",TV Series,7.9,
57,tt0101852,Ein Fall für TKKG: Drachenauge,1992,['Family'],Movie,5.1,84.0
58,tt0103538,Secret Service,1992,"['Adventure', 'Crime']",TV Series,6.7,
59,tt0103644,Alien³,1992,"['Action', 'Horror', 'Sci-Fi']",Movie,6.4,114.0
60,tt0103369,Sailor Moon: Het Meisje met de Macht van de Maannevel,1992,"['Adventure', 'Fantasy']",TV Series,7.8,7.0
61,tt0103447,Human Target,1992,['Adventure'],TV Series,6.2,1.0
62,tt0103524,Renegade,1992,['Adventure'],TV Series,5.9,
63,tt0104432,Homeboys,1992,['Action'],Movie,5.4,
64,tt0104714,Lethal Weapon 3,1992,['Action'],Movie,6.7,118.0
65,tt0104771,Luk ting kei II: San lung gau,1992,['Action'],Movie,7.0,98.0
66,tt0104485,Illicit Behavior,1992,['Action'],Movie,5.0,101.0
67,tt0104609,Kickboxer 3: The Art of War,1992,"['Action', 'Sport']",Movie,4.2,92.0
68,tt0104500,In the Line of Duty: Siege at Marion,1992,['Action'],TV Movie,5.7,
69,tt0104112,Distant Justice,1992,['Action'],Movie,4.7,94.0
70,tt0105186,Pu Jing da jie an,1992,['Action'],Movie,6.5,85.0
71,tt0105387,Tou shen gu zu,1992,['Action'],Movie,5.6,96.0
72,tt0105382,"Shao nian ye, an la!",1992,['Action'],Movie,7.3,110.0
73,tt0105384,San cheung sau yue ga lei gai,1992,['Action'],Movie,6.3,93.0
74,tt0105534,To hok wai lung 2,1992,['Action'],Movie,6.6,106.0
75,tt0105824,Wind,1992,"['Action', 'Sport']",Movie,6.4,126.0
76,tt0105813,White Sands,1992,['Action'],Movie,6.0,101.0
77,tt0105599,Tirangaa,1992,['Action'],Movie,6.8,168.0
78,tt0105866,Yalgaar,1992,['Action'],Movie,5.5,192.0
79,tt0108650,Chin san chuen suet,1992,['Action'],Movie,6.4,87.0
80,tt0108099,Shadow Force,1992,['Action'],Movie,7.2,80.0
81,tt0121918,Zhong Hua jing hua,1992,['Action'],Movie,4.8,90.0
82,tt0123768,Cumulus 9,1992,['Adventure'],Movie,6.2,93.0
83,tt0142237,Dragon Ball Z: Fight! 10 Billion Power Warriors,1992,['Action'],Movie,6.9,45.0
84,tt0158694,Kal Ki Awaz,1992,['Action'],Movie,6.1,162.0
85,tt0172300,Daulat Ki Jung,1992,['Adventure'],Movie,5.1,143.0
86,tt0189261,Tokusou ekushiidorafuto,1992,['Action'],TV Series,7.7,30.0
87,tt0201982,Thunder Ninja Kids: Robo Kid,1992,['Action'],Movie,,90.0
88,tt0210723,Guts,1992,"['Action', 'Sport']",TV Series,7.5,
89,tt0221162,Extermineitors 4: Como Hermanos Gemelos,1992,['Adventure'],Movie,4.9,90.0
90,tt0231378,Comando de federales II,1992,['Action'],Movie,,86.0
91,tt0247931,Antham,1992,['Action'],Movie,6.1,128.0
92,tt0259534,Ramayana: The Legend of Prince Rama,1992,['Adventure'],Movie,9.2,135.0
93,tt0268202,Bruce Lee and Kung Fu Mania,1992,['Action'],Movie,6.4,85.0
94,tt0278701,Sewer Shark,1992,['Action'],Video Game,6.1,1992.0
95,tt0287658,Río de sangre,1992,['Action'],Movie,,88.0
96,tt0292437,Balarama Krishnulu,1992,['Action'],Movie,6.9,142.0
97,tt0295234,The Empire Strikes Back,1992,['Adventure'],Video Game,7.8,
98,tt0302008,WWF Super WrestleMania,1992,['Action'],Video Game,5.4,
99,tt0095745,Ninja Vengeance,1993,"['Action', 'Drama']",Movie,2.6,87.0
100,tt0102218,King's Ransom,1993,"['Action', 'Crime']",Video,5.6,
101,tt0104864,Midnight Witness,1993,"['Action', 'Thriller']",Movie,4.2,90.0
102,tt0105400,Shui hu zhuan zhi ying xiong ben se,1993,['Action'],Movie,6.3,97.0
103,tt0106165,The Untouchables,1993,"['Action', 'Thriller', 'Crime']",TV Series,7.6,1.0
104,tt0106393,Best of the Best II,1993,"['Action', 'Thriller']",Movie,5.6,101.0
105,tt0106432,Blood Warriors,1993,['Action'],Movie,4.2,95.0
106,tt0107168,Huo hu die,1993,['Action'],Movie,,
107,tt0105973,Cobra,1993,['Adventure'],TV Series,6.3,1.0
108,tt0106257,American Ninja 5,1993,['Action'],Movie,3.0,102.0
109,tt0106644,Da Vinci's War,1993,['Action'],Movie,3.9,94.0
110,tt0106486,The Broken Chain,1993,"['Action', 'War']",TV Movie,5.8,93.0
111,tt0106309,Joshua Tree,1993,['Mystery'],Movie,5.7,106.0
112,tt0106443,De blå ulvene,1993,['Mystery'],Movie,5.5,95.0
113,tt0106986,Gardish,1993,['Action'],Movie,7.6,153.0
114,tt0106843,Expert Weapon,1993,['Adventure'],Movie,4.9,90.0
115,tt0107370,Last Light,1993,['Action'],TV Movie,6.3,
116,tt0107821,Phool Aur Angaar,1993,['Action'],Movie,5.8,146.0
117,tt0108284,Taking the Heat,1993,['Action'],TV Movie,5.6,
118,tt0107910,Quest of the Delta Knights,1993,['Adventure'],Video,2.3,
119,tt0108275,(Sökarna),1993,['Action'],Movie,4.7,108.0
120,tt0106927,Flight from Justice,1993,['Action'],TV Movie,4.9,96.0
121,tt0107597,Monolith,1993,['Action'],Movie,4.5,91.0
122,tt0107076,Hard Target,1993,['Action'],Movie,6.2,97.0
123,tt0106689,Death Train,1993,['Action'],TV Movie,5.2,
124,tt0106890,The Feds: Vengeance,1993,['Action'],TV Movie,7.8,93.0
125,tt0108059,La scorta,1993,['Action'],Movie,6.6,96.0
126,tt0107843,Point of No Return,1993,['Action'],Movie,6.1,109.0
127,tt0110070,Hu xue tu long zhi hong tian xian jing,1993,['Action'],Movie,5.7,88.0
128,tt0112389,The Princess and the Cobbler,1993,"['Adventure', 'Musical']",Movie,7.1,99.0
129,tt0121867,Wen shen nu lang,1993,['Action'],Movie,5.2,84.0
130,tt0128872,Cyberzone,1993,"['Action', 'Game-Show']",TV Series,5.8,30.0
131,tt0140749,Mighty Max,1993,['Adventure'],TV Series,7.9,
132,tt0152191,Rings,1993,['Action'],Movie,,88.0
133,tt0167006,Battle Spirits Ryûko no Ken,1993,['Adventure'],TV Movie,4.6,
134,tt0184116,Denkô chôjin Guriddoman,1993,['Adventure'],TV Series,7.1,30.0
135,tt0189110,Star Trek: Judgment Rites,1993,['Adventure'],Video Game,8.1,
136,tt0211032,Teste rasate,1993,['Action'],Movie,5.0,94.0
137,tt0220454,Battle Fighters Garou Densetsu 2,1993,['Action'],Video,6.5,
138,tt0237094,Chenkol,1993,['Action'],Movie,7.8,163.0
139,tt0251320,Pehchaan,1993,['Action'],Movie,4.6,138.0
140,tt0261254,Royal Rumble,1993,"['Action', 'Sport']",TV Special,6.5,158.0
141,tt0271348,Aayirappara,1993,['Action'],Movie,6.2,141.0
142,tt0286598,Doom,1993,['Action'],Video Game,8.6,
143,tt0291140,DuckTales 2,1993,['Adventure'],Video Game,7.5,
144,tt0103690,Angel 4: Undercover,1994,"['Action', 'Drama']",Movie,3.9,94.0
145,tt0106906,Final Mission,1994,"['Action', 'Sci-Fi']",Video,3.7,
146,tt0108799,The Head,1994,"['Adventure', 'Action', 'Sci-Fi']",TV Series,7.0,
147,tt0108978,V.R. Troopers,1994,"['Adventure', 'Action', 'Sci-Fi']",TV Series,5.6,
148,tt0108304,Taxi Dancers,1994,"['Thriller', 'Action']",Movie,4.6,87.0
149,tt0109444,Clear and Present Danger,1994,['Thriller'],Movie,6.9,141.0
150,tt0109316,Booker,1994,['Action'],Movie,,
151,tt0109422,Ranma ½: Chô-musabetsu kessen! Ranma team VS densetsu no hôô,1994,"['Action', 'Fantasy']",Short,7.4,31.0
152,tt0109573,Street War,1994,['Action'],Movie,5.0,100.0
153,tt0109430,Chûshingura gaiden: Yotsuya kaidan,1994,"['Action', 'Horror']",Movie,6.4,106.0
154,tt0109650,Doomsday Gun,1994,"['Action', 'History']",TV Movie,6.2,
155,tt0109607,The Desperate Trail,1994,"['Action', 'Western']",Video,5.9,
156,tt0109803,Huo yun chuan qi,1994,['Action'],Movie,6.2,90.0
157,tt0109850,Frogmen,1994,['Adventure'],TV Movie,5.3,91.0
158,tt0109950,Guardian Angel,1994,['Action'],Video,4.9,
159,tt0110093,I Love Trouble,1994,['Action'],Movie,5.4,123.0
160,tt0110094,I Spy Returns,1994,['Adventure'],TV Movie,4.9,
161,tt0110255,Kickboxer 4: The Aggressor,1994,"['Action', 'Sport']",Movie,4.0,90.0
162,tt0111158,Sharpe's Honour,1994,"['Adventure', 'War', 'History']",TV Episode,7.6,101.0
163,tt0110510,Midnight Run for Your Life,1994,['Adventure'],TV Movie,4.7,
